Korean,Romanize,English
전설,[jeonseol],legend
풀,[pul],grass
인쇄,[inswae],print
바이러스,[baireoseu],virus
발사,[balsa],launch
사이렌,[sairen],siren
입구,[ipgu],entrance
종교,[jonggyo],religion
버터,[beoteo],butter
숙제,[sukje],homework
스트레스,[seuteureseu],stress
모자,[moja],cap
박쥐,[bakjwi],bat
혼합,[honhap],mix
고문,[gomun],torture
갑판,[gapdan],deck
토끼,[tokki],rabbit
선택,[seontaek],option
발음,[bareum],accent
세금,[segeum],tax
찢음,[jjijeum],rip
싹,[ssak],bud
치료,[chiryo],therapy
인생,[insaeng],lifetime
짝사랑,[jjaksarang],crush
챔피언,[chaempieon],champion
두개골,[dugaegol],skull
버전,[beojeon],version
정부인,[jeongbuin],mistress
연료,[yeonryo],fuel
기간,[gigan],term
채권,[chaegwon],bond
평원,[pyeongwon],plain
실험,[silheom],experiment
승려,[seungnyeo],monk
사자,[saja],lion
청년,[cheongnyeon],lad
운동,[undong],exercise
지갑,[jigap],purse
동굴,[donggul],cave
표준,[pyojun],standard
터널,[teoneol],tunnel
철,[cheol],steel
분할,[bunhal],division
양,[yang],sheep
고전,[gojeon],classic
조카,[joka],nephew
소스,[soseu],sauce
영향,[yeonghyang],influence
네트워크,[neteuwokeu],network
대회,[daehoe],contest
오두막,[odumak],cabin
정글,[jeonggeul],jungle
뱀파이어,[baempaieo],vampire
출구,[chulgu],exit
침,[chim],spit
세대,[sedae],generation
수정,[sujeong],crystal
지위,[jiwi],status
학위,[hagwi],degree
불곱,[bulgop],buck
브랜드,[beuraendeu],brand
장난감,[jangnangam],toy
긁힘,[geulchim],scratch
부족,[bujok],tribe
대본,[daebon],script
신경,[singyeong],nerve
도장,[dojang],seal
벌레,[beolle],bug
반응,[banyeong],response
감시,[gamsi],surveillance
이득,[ideuk],gain
방아쇠,[bangasoae],trigger
진료소,[jinryoso],clinic
인내,[innae],patience
반역자,[banyeokja],traitor
제기랄,[jegiral],heck
우박,[ubak],hail
항구,[hanggu],port
쇠고기,[soegogi],beef
일상,[ilsang],routine
복장,[bokjang],outfit
고백,[gobaek],confession
안락,[anrak],ease
부관,[bugwan],deputy
교장,[gyojang],principal
지분,[jibun],stake
연결고리,[yeongyeolgoli],link
산업,[saneop],industry
의상,[uisang],costume
논쟁,[nonjaeng],argument
운동,[undong],motion
건설,[geonseol],construction
목표,[mokpyo],aim
무늬,[munui],pattern
못,[mot],nail
전기,[jeongi],electricity
전사,[jeonsa],warrior
요정,[yojeong],fairy
기념일,[ginyeomil],anniversary
온도,[ondo],temperature
부스,[buseu],booth
애완동물,[aewandommul],pet
스포츠,[seupocheu],sport
보석금,[boseokgeum],bail
방해,[banghae],interrupt
선율,[seonyul],tune
기도,[gido],prayer
양심,[yangsim],conscience
본부,[bonbu],headquarters
수탉,[sutak],cock
칩,[chip],chip
죄책감,[joechaekgam],guilt
오한,[ohan],chill
쥐,[jwi],mouse
딜러,[dilleo],dealer
백업,[baekeop],backup
낙원,[nakwon],paradise
주교,[jugyo],bishop
트렁크,[teureongkeu],trunk
전통,[jeontong],tradition
샐러드,[saelleodeu],salad
단지,[danji],complex
평균,[pyeonggyun],average
절벽,[jeolbyeok],cliff
그리스인,[geuriseuin],greek
대신,[daesin],behalf
펑크,[peongkeu],punk
줄무늬,[julmune],strip
파이프,[paipu],pipe
샘플,[saempeul],sample
빨래,[ppallae],laundry
환경,[hwangyeong],environment
새장,[saejang],cage
로봇,[robot],robot
습관,[seubgwan],habit
포장,[pojang],wrap
배,[bae],belly
이익,[iik],benefit
싱크대,[singkeudae],sink
삐비,[ppibi],beep
동기,[donggi],motive
서커스,[seokeoseu],circus
영토,[yeongto],territory
함정,[hamjeong],pit
사과,[sagwa],apology
시험,[siheom],exam
축제,[chukje],festival
여배우,[yeobaeu],actress
병동,[byeongdong],ward
활동,[hwaldong],activity
노동자,[nodongja],worker
경찰관,[gyeongchalgwan],policeman
보호소,[bohosoo],shelter
존재,[jonjae],existence
분위기,[bunwigee],atmosphere
제품,[jepum],product
한편,[hanpyeon],meantime
한계,[hangye],limit
선거,[seongeo],election
속옷,[sogot],underwear
맥박,[maekbak],pulse
작별,[jakbyeol],farewell
찰싹,[chalsak],slap
외침,[oechim],yell
초인종,[choinjong],doorbell
모험,[moheom],adventure
여권,[yeogwon],passport
망치,[mangchi],hammer
두건,[dugun],hood
판단,[pandan],judgment
살인,[sarin],homicide
순찰,[sunchal],patrol
흐름,[heureum],flow
울타리,[ultari],fence
정오,[jeongo],noon
기회,[gihoee],occasion
성격,[seonggyeok],personality
환상,[hwansang],fantasy
농작물,[nongjakmul],produce
확률,[hwakryul],odds
서명,[seomyeong],signature
개인,[gaein],individual
매력,[maeryeok],charm
의장,[uijang],chairman
틀,[teul],frame
안도,[ando],relief
구름,[gureum],cloud
시체,[siche],corpse
조직,[johjik],organization
호스트,[hoseuteu],host
운송,[unsong],transport
산소,[sanso],oxygen
시민,[simin],citizen
영향,[yeonghyang],impact
범죄,[beomjoe],offense
제작자,[jejakja],producer
키트,[kiteu],kit
광고,[gwanggo],ad
호위,[howi],escort
초대,[chodae],invitation
테러리스트,[tereoriseuteu],terrorist
점토,[jeomto],clay
비극,[bigeuk],tragedy
수학,[suhak],math
헛간,[heotgan],shed
절차,[jeolcha],procedure
모니터,[moniteo],monitor
회전,[hoejeon],spin
광대,[gwangdae],clown
목걸이,[mokgeoli],necklace
진흙,[jinheuk],mud
프로필,[peuropil],profile
각도,[gakdo],angle
가구,[gagu],furniture
약혼,[yakhon],engagement
바보,[baboo],moron
상어,[sangeo],shark
인류,[inryu],humanity
찍기,[jjikgi],chop
찰칵,[chalkak],snap
매출,[maechul],sales
마구간,[magugan],stable
할머니,[halmeoni],granny
기둥,[gidung],pole
무용가,[muyongga],dancer
영상,[yeongsang],footage
증가,[jeungga],increase
스트레칭,[seuteureching],stretch
로맨스,[romaenseu],romance
헬리콥터,[hellikopteo],helicopter
투구,[tugu],pitch
사례,[sarye],instance
레몬,[remon],lemon
두통,[dutoong],headache
쓰레기,[sseuregi],rubbish
회의,[hoeui],session
핀,[pin],pin
방,[bang],chamber
광고,[gwanggo],commercial
간,[gan],liver
음경,[eumgyeong],penis
엔지니어,[enjinieo],engineer
저녁,[jeonyeok],supper
술,[sul],liquor
드릴,[deuril],drill
골목,[golmok],alley
깡충,[kkangchung],hop
파괴,[pagoe],destruction
쓰레기,[sseuregi],junk
로켓,[roket],rocket
노인,[noin],elder
오페라,[opeora],opera
고속도로,[gosokdoro],highway
전투기,[jeontugi],fighter
껍데기,[kkeopdegi],shell
알파,[alpha],alpha
자유,[jayu],liberty
외과의사,[oegwa,surgeon
거지,[geoji],bum
과부,[gwabu],widow
목사,[moksa],reverend
모욕,[moyouk],insult
댓글,[daetgeul],comment
비누,[binu],soap
찌르다,[jjireuda],prick
저울,[jeoul],scale
슬픔,[seulpeum],grief
무릎,[mureup],knee
창녀,[changnyeo],slut
앨범,[aelbeom],album
피고인,[pigoin],defendant
여신,[yeosin],goddess
굽다,[gubda],bend
화장,[hwajang],makeup
충성,[chungseong],loyalty
가루,[garu],powder
유전자,[yujeonja],gene
다이어트,[daieoteu],diet
부모님,[bumonim],parent
잼,[jaem],jam
봉급,[bonggeup],salary
라틴어,[ratineo],latin
인구,[ingoo],population
대사,[daesa],ambassador
사물함,[samulham],locker
칭찬,[chingchan],praise
트라우마,[teurauma],trauma
해변,[haebyeon],shore
부,[bu],wealth
신혼여행,[sinhonyeohaeng],honeymoon
칼날,[kalnal],blade
위스키,[wiseuki],whiskey
핵심,[haeksim],core
구호,[guho],aid
텐트,[tenteu],tent
금발,[geumbal],blonde
의도,[uido],intention
학대,[hakdae],abuse
시,[si],poetry
제트기,[jeteugi],jet
저항,[jeohang],resistance
수염,[suyeom],beard
전략,[jeonryak],strategy
염소,[yeomso],goat
상,[sang],award
옥수수,[oksusu],corn
프로,[peuro],pro
그물,[geumul],net
문신,[munshin],tattoo
뇌졸중,[noejoljung],stroke
소설,[soseol],novel
혼돈,[hondon],chaos
동료,[dongryo],colleague
과학자,[gwahakja],scientist
이야기,[iyagi],tale
창고,[changgo],warehouse
코끼리,[kokkiri],elephant
인질,[injil],hostage
가지,[gaji],branch
이의,[ui],objection
무릎,[mureup],lap
소유,[soyu],possession
수도꼭지,[sudokkokji],tap
상급,[sanggeup],superior
턱,[teok],chin
탄산음료,[tansaneumryo],soda
위원회,[wiwonhoe],commission
영화관,[yeonghwagwan],cinema
근육,[geunyuk],muscle
시,[si],poem
항소,[hangso],appeal
스테이크,[seuteikeu],steak
생존,[saengjon],survival
이익,[iik],profit
상징,[sangjing],symbol
광기,[gwanggi],madness
발전,[baljeon],development
항해,[hanghae],sail
이,[i],tooth
리뷰,[ribyu],review
농구,[nonggu],basketball
경영,[gyeongyeong],management
관,[gwan],tube
소총,[sochong],rifle
통나무,[tongnamu],log
벌,[beol],bee
짜내다,[jjaenaeda],squeeze
태도,[taedo],manner
입구,[ipgu],entry
케이블,[keibeul],cable
프라이팬,[peuraipan],pan
원주민,[wonjumin],native
웨이터,[weiteo],waiter
벽돌,[byeokdol],brick
돼지고기,[dwaejigogi],pork
더미,[deomi],pile
표정,[pyojeong],expression
씨족,[ssijok],clan
시설,[siseol],facility
리셉션,[risebsyeon],reception
동상,[dongsang],statue
위성,[wiseong],satellite
광택제,[gwangtaekje],polish
파운드,[paundeu],pound
의사소통,[uisasotong],communication
냉장고,[naengjanggo],fridge
기초,[gicho],foundation
외모,[oemo],appearance
제안,[jean],proposal
전투,[jeontu],combat
슬라이드,[seullaidŭ],slide
지연,[jiyeon],delay
노동,[nodong],labor
부담,[budam],burden
지불,[jibul],payment
쇼핑몰,[syopingmol],mall
서류작업,[seoryujageop],paperwork
양고기,[yanggogi],lamb
항목,[hangmog],item
증언,[jeungeon],testimony
엉덩이,[eongdeongi],hip
댄스파티,[daenseupati],prom
패치,[paechi],patch
과제,[gwaje],assignment
모텔,[motel],motel
사기,[sagi],fraud
디저트,[dijeotheu],dessert
부상,[busang],injury
한판,[hanpan],bout
자루,[jaru],sack
토양,[toyang],soil
배지,[baeji],badge
모터,[moteo],motor
설명,[seolmyeong],description
배터리,[baeteori],battery
불만,[bulman],complaint
카우보이,[kauboi],cowboy
프라이버시,[peuraibeosi],privacy
지혜,[jihye],wisdom
반대,[bandae],contrary
크레인,[keurein],crane
누출,[nuchul],leak
알약,[alyak],pill
여행가방,[yeohaenggabang],suitcase
보드카,[bodeuka],vodka
화학물질,[hwahakmuljil],chemical
카톨릭,[katollik],catholic
축구,[chukgu],soccer
브러쉬,[beureoswi],brush
병,[byeong],illness
뒤집기,[dwijipgi],flip
비틀기,[biteulgi],twist
장,[jang],chapter
측정,[cheukjeong],measure
레이더,[leideo],radar
편집자,[pyeonjibja],editor
구조,[gujo],structure
마셜,[masyel],marshal
입찰,[ibchal],bid
손바닥,[sonbadak],palm
술집,[suljip],pub
분석,[bunseok],analysis
왕좌,[wangjwa],throne
헛간,[heotgan],barn
분노,[bunno],rage
함대,[hamdae],fleet
예산,[yesan],budget
유머,[yumeo],humor
직원,[jigwon],employee
약,[yak],medication
술,[sul],booze
누나,[nuna],sis
거북이,[geobugi],turtle
견과류,[gyeongwaryu],nut
동전,[dongjeon],coin
기반,[giban],basis
토론,[toron],discussion
기질,[gijil],temper
음모,[eummo],plot
카지노,[kajino],casino
포커,[pokeo],poker
농부,[nongbu],farmer
계산대,[gyesandae],counter
새끼,[saekki],fucker
수리,[suri],repair
쿠키,[kuki],cookie
제빵사,[jebangsa],baker
마사지,[masaji],massage
오락,[orak],entertainment
양동이,[yangdongi],bucket
채찍,[chaejjik],whip
용서,[yongseo],forgiveness
거미,[geomi],spider
단계,[dangye],phase
다이어리,[daieori],diary
담요,[damyo],blanket
코미디,[komidi],comedy
높이,[nopi],height
다이빙,[daibing],dive
테니스,[teniseu],tennis
햇살,[haessal],sunshine
마약,[mayak],dope
허가,[heoga],permit
재즈,[jaejeu],jazz
제비,[jeobi],swallow
수건,[sugeon],towel
기능,[gineung],function
토끼,[tokki],bunny
조카딸,[jokattal],niece
검사,[geomsa],prosecutor
기금,[gigeum],fund
펌프,[peompeu],pump
지역,[jiyeok],region
약점,[yakjeom],weakness
발견,[balgyeon],discovery
바늘,[baneul],needle
임원,[imwon],executive
정지,[jeongji],halt
둥지,[dungji],nest
중력,[joongryeok],gravity
수레,[sure],wagon
사기꾼,[sagikkun],con
폭발,[pokbal],burst
잡초,[jabcho],weed
개념,[gaenyeom],concept
운반선,[unbanseon],vessel
동물원,[dongmulwon],zoo
악취,[akchwi],stink
가죽,[gajuk],leather
멕시칸,[meksikan],mexican
시트,[siteu],sheet
부츠,[bucheuseu],boot
역전,[yeokjeon],reverse
손자,[sonja],grandson
방패,[bangpae],shield
지휘,[jihwi],conduct
짐,[jim],luggage
승진,[seungjin],promotion
메뉴,[menyu],menu
베이컨,[beikeon],bacon
방법,[bangbeop],method
퍼레이드,[peoreideu],parade
감자,[gamja],potato
태그,[taegeu],tag
방사능,[bangsaneung],radiation
기술,[gisul],technique
보석,[boseok],jewelry
보모,[bomo],nanny
카트,[kateu],cart
티슈,[tisyu],tissue
사수,[sasu],shooter
도착,[dochak],arrival
뿌리,[ppuri],root
은하,[eunha],galaxy
소문,[somon],gossip
기술,[gineung],skill
음모,[eummo],conspiracy
신랑,[sinrang],groom
체리,[cheri],cherry
굶주림,[geolmjurim],hunger
이상,[isang],ideal
반죽,[banjuk],dough
공포,[gongpo],terror
햄,[haem],ham
우선순위,[useonsunwi],priority
인류,[inryu],mankind
클릭,[keullik],click
유럽인,[yureopin],european
베개,[begae],pillow
스캔,[seukaen],scan
리허설,[riheoseol],rehearsal
시인,[siin],poet
축하,[chuka],celebration
소,[so],cattle
서랍,[seorab],drawer
라이터,[raiteo],lighter
등록,[deungrok],register
만화,[manhwa],comic
램프,[laempeu],lamp
찌르기,[jjireugi],stab
존엄성,[joneomseong],dignity
잔해,[janhae],wreck
친척,[chincheok],relative
혼수상태,[honsusangtae],coma
하사,[hasa],corporal
바구니,[baguni],basket
공포,[gongpo],horror
맹세,[maengse],oath
증기,[jeunggi],steam
솔로,[sollo],solo
묘지,[myoiji],cemetery
멍,[meong],bump
인사,[insa],personnel
거품,[geopum],scum
폭도,[pokdo],mob
조합,[johap],combination
광선,[gwangseon],beam
동맹,[dongmaeng],alliance
상담가,[sangdamga],counselor
낮잠,[natjam],nap
갈등,[galdeung],conflict
지원,[jiwon],assistance
철수,[cheolsu],retreat
후보,[hubo],candidate
고무,[gomu],rubber
빙고,[binggo],bingo
부검,[bugeom],autopsy
카펫,[kapaet],carpet
강아지,[gangaji],puppy
내장,[naejang],gut
관,[gwan],coffin
순간,[sungan],instant
재,[jae],ash
스캔들,[seukaendeul],scandal
동맹,[dongmaeng],ally
화살,[hwasal],arrow
비참,[bicham],misery
면,[myeon],cotton
스위트룸,[seuwiteulum],suite
강의,[gangui],lecture
경제,[gyeongje],economy
응시,[eungsi],stare
수호자,[suhoja],guardian
공연,[gongyeon],gig
투자,[tuja],investment
헤로인,[he'roin],heroin
예금,[yegum],deposit
메달,[medal],medal
껌,[kkeom],gum
부풀다,[bupulda],swell
헌신,[heonsin],commitment
오두막,[odumak],hut
후면,[humyeon],rear
사진작가,[sajinjagga],photographer
흥분,[heungbun],excitement
목장,[mokjang],ranch
수수료,[susuryo],fee
도구,[dogu],tool
직업,[jigeop],profession
문서,[munseo],document
기자,[gija],journalist
미끼,[mikki],bait
가슴,[gaseum],breast
슬픔,[seulpeum],sorrow
룸메이트,[rummeiteu],roommate
상담,[sangdam],counsel
대포,[daepo],cannon
벌금,[beolgeum],penalty
발표,[balpyo],announcement
코카인,[kokain],cocaine
포옹,[poong],embrace
못,[mot],spike
비단,[bidan],silk
도둑질,[dodukjil],theft
방문객,[bangmungaek],visitor
산성,[sanseong],acid
소란,[soran],fuss
거래,[georae],bargain
잔치,[janchi],feast
칼라,[kalla],collar
질투,[jiltu],envy
불길,[bulgil],flame
명성,[myeongseong],fame
향수,[hyangsu],perfume
시위,[siwi],protest
정신병자,[jeongsinbyeongja],psycho
감정,[gamjeong],emotion
전시,[jeonsi],display
내용,[naeyong],content
고추,[gochu],pepper
치마,[chima],skirt
크루즈,[keurujeu],cruise
대사관,[daesagwan],embassy
상처,[sangcheo],scar
리듬,[rideum],rhythm
신화,[sinhwa],myth
밀치다,[milchida],shove
증명서,[jeungmyeongseo],certificate
드럼,[deureom],drum
감염,[gamyeom],infection
스카치,[seukachi],scotch
개구리,[gaeguri],frog
체스,[cheseu],chess
신념,[sinnyeom],belief
캐비닛,[kaebinis],cabinet
소문,[somun],rumor
폐,[pae],lung
랩,[raep],rap
오류,[oryu],error
토론,[toron],debate
합,[hap],sum
청소,[cheongso],sweep
시대,[sidae],era
금고,[geumgo],vault
액체,[aekche],liquid
항공기,[hanggonggi],aircraft
총성,[chongseong],gunfire
친구,[chingu],chap
튀기다,[twigida],fry
화물,[hwamul],cargo
주먹,[jumeok],fist
멍청이,[meongcheongi],sucker
오븐,[obeun],oven
증오,[jeung'o],hatred
벤치,[benchi],bench
봉투,[bongtu],envelope
친절,[chinjeol],kindness
헬멧,[helmet],helmet
쌍둥이,[ssangdungi],twin
선원,[seonwon],sailor
사다리,[sadari],ladder
배럴,[baereol],barrel
민속,[minsok],folk
바나나,[banana],banana
대안,[daean],alternative
디자이너,[dijaineo],designer
다이얼,[daieol],dial
긴장,[ginjang],tension
급습,[geupseup],raid
정찰,[jeongchal],scout
사슴,[saseum],deer
그립,[geurip],grip
주석,[juseok],tin
감시자,[gamsija],warden
인용문,[inyongmun],quote
지하철,[jihacheol],subway
저장소,[jeojangso],storage
트레일러,[teureilleo],trailer
조작자,[johakja],operator
기업,[gieop],enterprise
주기,[jugi],cycle
중요성,[jungyoseong],importance
거위,[geowi],goose
베이스,[beiseu],bass
자원봉사자,[jawonbongsaja],volunteer
거주지,[geojuji],residence
입술,[ipsul],lip
갤러리,[gaellori],gallery
오토바이,[otobai],motorcycle
숭배,[sungbae],worship
졸업생,[joleopsaeng],graduate
의회,[uihoe],congress
집행,[jiphaeng],execution
의식,[uisik],ritual
고래,[gorae],whale
신청서,[sincheongseo],application
욕조,[yokjo],tub
권총,[gwonchong],pistol
민주주의,[minjujuui],democracy
캠퍼스,[kaempeoseu],campus
결론,[gyeollon],conclusion
녀석,[nyeoseok],rascal
촛불,[chotbul],candle
원칙,[wonchik],principle
정육점,[jeongyukjeom],butcher
스웨터,[seuweteo],sweater
계급,[gyegeup],rank
소풍,[sopung],picnic
회복,[hoebok],recovery
기어가기,[gieogagi],crawl
빌라,[billa],villa
브랜디,[beuraendi],brandy
식욕,[sikyok],appetite
레즈비언,[rejeubieon],lesbian
목동,[mokdong],shepherd
관점,[gwajeom],perspective
하키,[haki],hockey
기어이동,[gieoidong],creep
규율,[gyuyul],discipline
핥기,[haltgi],lick
석탄,[seoktan],coal
무덤,[mudeom],tomb
침묵,[chimmuk],hush
허수아비,[heosuabi],dummy
제안,[jean],suggestion
추가,[chuga],addition
치료사,[chiryosa],therapist
가석방,[gaseokbang],parole
카페,[kafe],cafe
마법사,[mabeobsa],wizard
의식,[uisik],consciousness
부문,[bumun],sector
일몰,[ilmol],sunset
창조,[changjo],creation
통로,[tongro],passage
칭찬,[chingchan],compliment
방송,[bangsong],broadcast
먹이,[meogi],prey
퍼즐,[peojeul],puzzle
배열,[baeyul],arrangement
침략,[chimryak],invasion
영원,[yeongwon],eternity
전염병,[jeonyeombbyeong],plague
철학,[cheolhak],philosophy
매춘부,[maechunbu],prostitute
본능,[bonneung],instinct
애정,[aejeong],affection
나치,[nachi],nazi
부,[bu],ministry
사치,[sachi],luxury
산들바람,[sandeulbaram],breeze
소시지,[sosiji],sausage
물리학,[mullihak],physics
해적,[haejeok],pirate
조각,[jogak],slice
낚시대,[nakkisidae],rod
신장,[sinjang],kidney
영감,[yeonggam],inspiration
생강,[saenggang],ginger
목적지,[mokjeokji],destination
콘크리트,[konkeuriteu],concrete
개울,[gaeul],stream
치과의사,[chigwauisa],dentist
배수,[baesu],drain
스프레이,[seupeurei],spray
기관,[gigwan],organ
엄지손가락,[eomjisongarak],thumb
당나귀,[dangnagwi],donkey
공식,[gongsik],formula
매춘부,[maechunbu],hooker
브래지어,[beuraejiEO],bra
총각,[chonggak],bachelor
항공기,[hanggonggi],airplane
결석,[gyelseok],absence
햇빛,[haetbit],daylight
손목,[sonmok],wrist
서기,[seogi],clerk
행위,[haengwi],deed
속도,[sokdo],pace
플러그,[peulleogeu],plug
특권,[teukgweon],privilege
보너스,[boneoseu],bonus
정직,[jeongjik],honesty
지하실,[jihasil],cellar
마차,[macha],carriage
로비,[robi],lobby
향기,[hyanggi],scent
햄버거,[haembeogeo],burger
의례,[uirye],protocol
작가,[jakga],author
두더지,[dudeoji],mole
불명예,[bulmyeongye],disgrace
환상,[hwansang],illusion
평결,[pyeonggyeol],verdict
수입,[suip],income
문명,[munmyeong],civilization
괴롭히는놈,[goeropineunnom],bully
원소,[wonseo],element
승객,[seunggaek],passenger
풍선,[pungseon],balloon
발가락,[balgarak],toe
필멸의,[pilmyeolui],mortal
복권,[bokgwon],lottery
대저택,[daejeottaek],mansion
커튼,[keoteun],curtain
볼,[bol],cheek
항구,[hanggu],harbor
홍수,[hongsu],flood
칵테일,[kakteil],cocktail
회답,[hoedap],reply
좀비,[jombi],zombie
동료,[dongnyo],associate
버블,[beobeul],bubble
종자,[jongja],seed
유명인사,[yumyeonginsa],celebrity
미사일,[misail],missile
부패,[bupae],rot
레이저,[reijeo],laser
원한,[wonhan],spite
밀,[mil],mill
웨이트리스,[weiteuriseu],waitress
은퇴,[euntoe],retirement
동의,[dongui],consent
축소,[chuksso],shrink
구리,[guri],copper
경매,[gyeongmae],auction
혼란,[honlan],confusion
칼럼,[kalleom],column
동정,[dongjeong],sympathy
연설자,[yeonseolja],speaker
황동,[hwangdong],brass
경찰,[gyeongchal],constable
개구쟁이,[gaegujaengi],brat
계획,[gyehoek],scheme
상속인,[sangsogin],heir
도랑,[dorang],ditch
의심,[uisim],suspicion
조수,[josu],tide
대회,[daehoe],tournament
무지개,[mujigae],rainbow
궤도,[gwedo],orbit
군단,[gundan],corps
플랫폼,[peullaetpom],platform
옷감,[otgam],cloth
산탄총,[santanchong],shotgun
털,[teol],fur
진,[jin],gin
